W	PRON	NL	NN	NPN	BFNT	TFNT	NP
tinch	tInJ	5	5	10	754092	19855	4
twunch	twVnJ	6	0	0	322282	12199	5
smeumn	smum	6	0	1	250922	1744	4
pseuk	suk	5	0	18	266669	746	3
loil	l4l	4	8	12	236305	4624	3
thweth	TwET	6	0	0	4024837	2548	4
sprewk	spruk	6	0	1	492107	13699	5
skrock	skrQk	6	0	0	291071	13273	5
farlte	f#lt	6	0	3	416761	11225	4
wusc	wVsk	4	0	7	153735	0	4
fleuff	fluf	6	0	4	175603	4529	4
thant	T{nt	5	3	5	3232154	295505	4
vorn	v9n	4	8	27	387885	4014	3
mung	mVN	4	6	19	178273	11177	3
brumf	brVmf	5	0	0	64670	1607	5
trink	trINk	5	6	5	626674	44050	5
dwerch	dw3J	6	0	0	619345	68252	4
dawth	d9T	5	0	10	1943582	2782	3
smurg	sm3g	5	0	3	143783	1180	4
thieb	T2b	5	1	3	2290768	115863	3
fegg	fEg	4	0	13	65681	1685	3
sheech	SiJ	6	1	14	2294845	90480	3
joate	_5t	5	0	16	536816	26531	3
sleiph	sl1f	6	1	8	223096	3714	4
skrymf	skrImf	6	0	1	32746	0	6
ghlure	gl9	6	0	8	592207	7722	3
ghyce	g2s	5	0	17	205931	200	3
potch	pQJ	5	7	21	373950	13896	3
graute	gr9t	6	0	8	379653	8850	4
noot	nut	4	11	29	478035	5980	3
skuign	skun	6	0	10	121509	3788	4
zoote	zut	5	0	14	371916	12036	3
rofe	r5f	4	9	26	768145	65	3
yaugg	j9g	5	0	7	70216	6193	3
galc	g{lk	4	4	2	153328	231	4
tuidge	tu_	6	0	5	197551	8075	3
phreav	friv	6	0	6	742907	61646	4
phurke	f3k	6	0	24	258943	8386	3
sogg	sQg	4	1	17	116422	151	3
kruff	krVf	5	1	4	48817	2171	4
steaf	stif	5	5	10	564505	18546	4
jawthe	_9D	6	0	3	3667496	1313690	3
thrunc	TrVNk	6	0	3	2056797	44306	5
jeake	_ik	5	0	22	394288	45508	3
troarf	tr9f	6	0	2	512686	15844	4
dweeph	dwif	6	0	1	383632	21858	4
yoash	j5S	5	0	3	743637	7577	3
toult	t6lt	5	0	1	1531648	103443	4
thwarn	Tw#n	6	1	0	2412697	16158	4
jisque	_Isk	6	1	5	388624	5600	4
maub	m9b	4	2	12	120727	141	3
rolth	rQlT	5	0	0	2160436	7700	4
gwoarg	gw9g	6	0	0	397042	10896	4
thwisk	TwIsk	6	0	0	2453816	6372	5
slaipe	sl1p	6	0	13	279878	8732	4
teenn	tin	5	1	37	486235	60143	3
mulm	mVlm	4	2	2	153036	196	4
twutt	twVt	5	0	2	192552	249	4
stoth	stQT	5	1	3	3255841	31702	4
nuss	nVs	4	7	21	176948	403	3
croagg	kr5g	6	0	8	244874	13305	4
hirm	h3m	4	2	22	489615	6479	3
daut	d9t	4	4	27	208887	93	3
sckeec	skik	6	0	6	409895	16482	4
spoage	sp5_	6	1	2	160902	15195	4
plegn	plEn	5	0	6	180140	6487	4
mek	mEk	3	3	28	234435	0	3
wrose	r5s	5	3	20	517268	45131	3
spleim	spl1m	6	0	1	350746	4358	5
cholte	JQlt	6	0	2	564404	23985	4
clauck	kl9k	6	0	11	257527	16156	4
sturl	st3l	5	0	14	368513	14041	4
freegn	frin	6	0	8	681116	38711	4
skrurm	skr3m	6	0	4	155560	0	5
varme	v#m	5	0	9	495368	12441	3
cheuse	Jus	6	1	12	2329646	82773	3
blaff	bl{f	5	1	3	142854	10557	4
hiente	h2nt	6	0	6	766747	33935	4
wregue	rEg	6	0	17	434414	5204	3
hegg	hEg	4	0	14	1759796	1685	3
broign	br4n	6	0	8	317534	12577	4
knolth	nQlT	6	0	0	2207662	30605	4
sholb	SQlb	5	0	0	414343	49670	4
strurf	str3f	6	0	2	420876	35148	5
foarch	f9J	6	0	17	652201	13327	3
dolge	dQl_	5	1	1	282338	699	4
vaitt	v1t	5	0	23	479014	4310	3
frar	fr#	4	3	6	404185	4619	3
bluik	bluk	5	0	9	88654	3010	4
kell	kEl	4	12	29	421003	36535	3
parnte	p#nt	6	0	9	470787	19646	4
stelp	stElp	5	1	1	431988	26768	5
gnoarb	n9b	6	0	14	464878	3019	3
psoove	suv	6	0	11	445702	24955	3
gwive	gw2v	5	0	0	368448	32229	4
gwalce	gw{ls	6	0	0	475975	9600	5
prermn	pr3m	6	0	4	673285	9311	4
chybe	J2b	5	0	7	383270	1	3
wealte	wilt	6	1	7	635505	18601	4
zam	z{m	3	10	16	57454	0	3
skourv	sk9v	6	0	5	533783	50151	4
croase	kr5s	6	2	11	898544	27945	4
shruzz	SrVz	6	0	3	220889	3753	4
strugn	strVn	6	0	6	396360	36562	5
gruy	gr2	4	2	7	78187	318	3
wange	w{n_	5	3	0	1114411	41185	4
girlt	g3lt	5	1	3	165597	15461	4
clul	klVl	4	2	4	160615	2714	4
krarfe	kr#f	6	0	0	364448	1335	4
seave	siv	5	8	27	713698	107091	3
phlurl	fl3l	6	0	2	117621	1215	4
trimf	trImf	5	1	2	227434	14150	5
phroke	fr5k	6	0	5	406144	39010	4
ziell	z2l	5	0	13	328427	40547	3
yelch	jElJ	5	2	4	327958	838	4
phulch	fVlJ	6	0	2	329817	481	4
dryse	dr2s	5	0	8	302001	1575	4
wilmb	wIlm	5	0	4	307457	39729	4
skoaph	sk5f	6	0	6	62622	474	4
chimb	JIm	5	3	20	652556	56843	3
smuit	smut	5	0	6	442166	11122	4
thilm	TIlm	5	0	1	2373287	136210	4
pserpe	s3p	6	0	17	553779	3296	3
sckeaf	skif	6	0	8	438894	8260	4
spelch	spElJ	6	1	3	355866	11662	5
crealt	krilt	6	0	3	782183	60160	5
toase	t5s	5	2	12	1665049	15845	3
beev	biv	4	6	17	360267	47623	3
zerle	z3l	5	0	9	400992	558	3
yoon	jun	4	7	20	542253	7371	3
scriec	skr2k	6	0	2	159498	22906	5
poag	p5g	4	1	11	64325	51	3
twourt	tw9t	6	0	4	700630	127154	4
yoann	j5n	5	0	23	882059	2409	3
throse	Tr5s	6	2	8	2437684	92240	4
pholth	fQlT	6	0	1	2175259	16814	4
skomf	skQmf	5	0	0	172148	0	5
pighte	p2t	6	0	39	366714	143648	3
swenk	swENk	5	1	1	423361	14747	5
charth	J#T	6	1	11	2934557	65228	3
gwumph	gwVmf	6	0	0	21012	3699	5
tul	tVl	3	5	28	128563	30	3
tremf	trEmf	5	0	0	509261	14795	5
runk	rVNk	4	14	13	122468	8727	4
moamb	m5m	5	0	24	166940	947	3
keelt	kilt	5	2	5	411261	25015	4
kilph	kIlf	5	0	4	152523	5743	4
sciege	ski_	6	0	4	130832	300	4
gwose	gw5s	5	1	1	441812	35098	4
bebe	bib	4	1	17	352455	9	3
truimb	trum	6	0	8	204814	13714	4
glerpe	gl3p	6	0	1	432451	946	4
skrogn	skrQn	6	0	1	219628	246	5
skolc	skQlk	5	0	1	85723	0	5
bluth	blVT	5	1	3	2091633	15259	4
rhunc	rVNk	5	0	13	113882	5363	4
glonn	glQn	5	0	3	358124	15574	4
glurme	gl3m	6	0	3	346781	3084	4
proz	prQz	4	6	15	208459	4932	4
steech	stiJ	6	2	9	732063	16853	4
gneegn	nin	6	0	27	367615	12707	3
slurk	sl3k	5	3	8	134041	1639	4
voarg	v9g	5	0	3	280601	10894	3
delmb	dElm	5	0	5	144952	241	4
jeet	_it	4	6	19	250464	16317	3
whoot	wut	5	2	33	724183	71688	3
cluve	kluv	5	2	3	202279	2721	4
gnove	n5v	5	3	17	375380	19707	3
crurmn	kr3m	6	0	5	150659	1832	4
wawnch	w9nJ	6	0	7	558488	11100	4
shiem	S2m	5	2	13	608687	6413	3
grurlt	gr3lt	6	0	0	193734	864	5
reithe	r1D	6	0	19	4462802	1432180	3
jose	_5s	4	10	6	337641	35089	3
glourl	gl9l	6	0	0	629630	53938	4
flosc	flQsk	5	1	1	204162	20749	5
crurse	kr3s	6	2	5	440691	30080	4
dwirg	dw3g	5	0	0	300006	159	4
zoage	z5_	5	0	1	102257	9786	3
phoom	fum	5	0	17	494549	24777	3
gwuick	gwuk	6	0	0	170249	13060	4
ghutch	gVJ	6	0	12	497633	14353	3
scoant	sk5nt	6	0	2	910619	24884	5
pserl	s3l	5	0	26	522918	3212	3
wholck	wQlk	6	0	1	571154	65402	4
frenck	frENk	6	1	2	801810	18463	5
treaph	trif	6	0	6	686168	58178	4
dourge	d9_	6	0	9	737777	65147	3
nilb	nIlb	4	1	0	130936	117	4
flautt	fl9t	6	1	13	294940	8449	4
shreuf	Sruf	6	0	3	586999	15951	4
sheumn	Sum	6	0	16	1915463	81319	3
bluill	blul	6	0	3	381110	74555	4
yaige	j1_	5	0	6	248801	2105	3
threaf	Trif	6	2	3	2542976	88589	4
shrol	SrQl	5	0	1	440703	26091	4
squown	skw6n	6	0	0	223536	56020	5
lesck	lEsk	5	0	2	397676	17652	4
wriz	rIz	4	2	27	86966	3420	3
snourb	sn9b	6	0	5	706172	51304	4
smoap	sm5p	5	0	4	136512	2680	4
gnaike	n1k	6	0	23	286198	37399	3
grente	grEnt	6	0	2	809085	49631	5
dreigg	dr1g	6	0	7	550628	11471	4
