"","block","NLET","Ortho_N","Phono_N","CNC","IMG","NPHN","gr1lf","BG_Mean"
"1",1,4.33333333333333,9.91666666666667,24.25,513.333333333333,552.083333333333,3.58333333333333,2.11881619733855,3271.5
"2",2,4.33333333333333,9.91666666666667,21.9166666666667,558.5,547.333333333333,3.41666666666667,1.69729029326661,2733.7775
"3",3,4.25,8.91666666666667,23.1666666666667,514.083333333333,529.833333333333,3.33333333333333,1.71752782265381,3160.91
"4",4,4.08333333333333,11.8333333333333,25.0833333333333,540.25,546.5,3.5,2.01568753618138,4429.97166666667
"5",5,4.25,9.58333333333333,21.75,560,549.583333333333,3.5,1.81472741196017,3258.86083333333
"6",6,4.33333333333333,9.83333333333333,19.5,535.416666666667,545.666666666667,3.33333333333333,1.69387843076775,3672.74916666667
"7",7,4.33333333333333,8.58333333333333,17.6666666666667,542.583333333333,546.833333333333,3.58333333333333,1.69705281423186,2663.625
"8",8,4.41666666666667,10.6666666666667,23.1666666666667,542.75,548.166666666667,3.41666666666667,1.94653957150248,2988.81166666667
"9",9,4.16666666666667,11.0833333333333,20.5833333333333,554.666666666667,546.25,3.58333333333333,1.60869782793982,3562.57
"10",10,4.5,9.58333333333333,21.3333333333333,548.75,548.666666666667,3.5,1.71691101526599,3344.38416666667
"11",11,4.41666666666667,9.41666666666667,21.25,545.916666666667,559.166666666667,3.41666666666667,1.82829137228683,2561.16583333333
"12",12,4.16666666666667,10.8333333333333,21.5833333333333,516.083333333333,535.333333333333,3.5,1.5302221516779,2292.1575
