"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","Ortho_N","Phono_N","Freq_N","BG_Sum","BG_Mean","NPhon","NSyll","NMorph","POS"
"1","a's","3","NULL","1836","7.52","8","29","7.44","1909","954.50","2","1","2","NN|encl"
"1","Abe","3","3","1235","7.12","14","19","8.58","3885","1942.50","2","1","1","NN"
"1","able","4","216","176528","12.08","3","3","5.95","10711","3570.33","3","2","1","JJ"
"1","aboard","6","25","3721","8.22","1","5","0.00","11804","2360.80","5","2","1","minor|RB"
"1","abode","5","4","486","6.19","3","2","8.39","9620","2405.00","4","2","1","NN"
"1","about","5","1815","1307019","14.08","1","3","7.93","9123","2280.75","4","2","1","minor|RB|JJ"
"1","above","5","296","177919","12.09","1","1","6.19","8105","2026.25","4","2","1","minor|JJ|NN"
"1","ache","4","4","846","6.74","3","23","6.82","9722","3240.67","2","1","1","VB|NN"
"1","aches","5","1","419","6.04","3","14","7.49","22458","5614.50","3","1","2","NN|VB"
"1","acorns","6","1","359","5.88","2","1","3.49","17732","3546.40","6","2","2","NN"
"1","acre","4","9","1554","7.35","3","5","6.61","12634","4211.33","3","2","1","NN"
"1","acres","5","44","3930","8.28","1","0","6.04","25370","6342.50","4","2","2","NN"
"1","across","6","282","62336","11.04","0","0","NULL","14491","2898.20","5","2","1","minor"
"1","act","3","283","72216","11.19","9","11","8.25","4660","2330.00","3","1","1","NN|VB"
"1","acted","5","18","4894","8.50","2","1","4.20","21291","5322.75","5","2","2","VB"
"1","acting","6","61","16012","9.68","1","2","7.00","37270","7454.00","5","2","2","VB|NN"
"1","action","6","291","77756","11.26","0","1","NULL","26409","5281.80","4","2","2","NN"
"1","actor","5","24","10471","9.26","1","5","5.26","12672","3168.00","4","2","2","NN"
"1","actors","6","15","7249","8.89","0","2","NULL","16539","3307.80","5","2","3","NN"
"1","acts","4","39","19423","9.87","3","4","8.64","7387","2462.33","4","1","2","NN|VB"
"1","Adam","4","44","19626","9.88","1","6","2.83","5106","1702.00","4","2","1","NN|RB"
"1","ADAMS","5","NULL","13266","9.49","4","2","2.82","5735","1433.75","5","2","1","NN"
"1","add","3","88","113856","11.64","10","24","8.97","2496","1248.00","2","1","1","VB"
"1","added","5","172","62085","11.04","2","7","6.63","15457","3864.25","4","2","2","VB"
"1","adds","4","10","11870","9.38","2","9","9.51","3591","1197.00","3","1","2","VB"
"1","admit","5","37","27202","10.21","1","0","1.95","8996","2249.00","5","2","2","VB"
"1","adopt","5","13","5702","8.65","2","2","7.80","5393","1348.25","5","2","1","VB"
"1","ads","3","10","26673","10.19","10","9","8.00","3089","1544.50","3","1","2","NN"
"1","adult","5","25","25223","10.14","0","1","NULL","5669","1417.25","5","2","1","NN|JJ"
"1","adverb","6","1","149","5.00","1","2","6.80","19269","3853.80","5","2","2","NN"
"1","advice","6","51","44488","10.70","1","1","9.11","10764","2152.80","5","2","1","NN"
"1","afar","4","2","446","6.10","2","5","5.85","7380","2460.00","4","2","1","RB"
"1","afraid","6","57","23303","10.06","0","2","NULL","10601","2120.20","5","2","1","JJ"
"1","Africa","6","45","17142","9.75","1","0","5.47","15688","3137.60","6","3","1","NN"
"1","after","5","1070","414103","12.93","3","4","5.78","22537","5634.25","4","2","1","minor"
"1","again","5","578","249680","12.43","1","2","7.79","19272","4818.00","4","2","1","RB"
"1","age","3","227","66835","11.11","13","19","8.68","3881","1940.50","2","1","1","NN|VB"
"1","agency","6","56","22870","10.04","0","1","NULL","13872","2774.40","6","3","2","NN"
"1","agent","5","44","22078","10.00","1","1","2.48","16431","4107.75","5","2","2","NN"
"1","agents","6","39","14778","9.60","0","0","NULL","19158","3831.60","6","2","3","NN"
"1","ago","3","246","116095","11.66","5","2","8.02","2353","1176.50","3","2","1","RB"
"1","agree","5","51","103383","11.55","0","0","NULL","13065","3266.25","4","2","1","VB"
"1","agreed","6","81","21890","9.99","1","2","8.62","21149","4229.80","5","2","2","VB|JJ"
"1","aha","3","NULL","1894","7.55","6","1","7.02","2762","1381.00","3","2","1","minor"
"1","ahead","5","109","25862","10.16","1","1","7.61","8911","2227.75","4","2","1","RB|minor"
"1","aid","3","130","18556","9.83","15","26","9.43","3304","1652.00","2","1","1","NN|VB"
"1","aimed","5","24","7151","8.88","7","4","6.03","14897","3724.25","3","1","2","VB"
