word,PSW,block
beast,beant,12
babe,bebe,7
bush,besh,10
dive,bive,12
blade,blake,9
blood,bloov,7
block,bluck,10
book,boak,2
boot,boof,5
breath,breatt,11
bridge,bredge,6
brick,bruck,2
bath,byth,10
gas,cas,7
case,cise,2
crab,crav,9
green,creen,1
cliff,criff,3
trunk,crunk,5
dawn,dagn,11
cake,dake,12
deck,dech,9
dip,dit,2
doll,doul,6
brush,drush,10
nurse,durse,2
fat,faf,4
sap,fap,8
tip,fip,1
flame,flafe,6
plain,flain,3
flag,flaz,7
flock,fluck,3
plug,flug,12
frost,frosc,7
fork,furk,3
shed,ghed,5
night,gight,8
glove,gleve,5
goal,goac,3
nose,gose,2
grade,grafe,11
guard,guarl,6
swim,gwim,1
globe,gwobe,5
head,heak,7
hide,hine,5
sink,hink,9
harm,hirm,9
heart,hoart,5
bud,hud,5
hush,huss,2
cart,jart,8
date,jate,9
seal,jeal,10
geese,jeese,8
jump,jemp,4
mile,jile,3
coal,joal,6
hose,jose,4
bet,ket,12
pump,kump,12
lane,lale,8
lamp,lalp,5
land,lant,5
lamb,larb,2
lead,leab,7
look,loov,8
curve,lurve,4
girl,mirl,4
mouse,mouge,8
bowl,mowl,1
fudge,mudge,3
mule,muve,6
dad,nad,4
salt,nalt,1
task,nask,7
net,nep,9
tin,nin,4
hop,nop,6
page,pame,9
peach,pelch,9
plot,plog,12
pouch,pluch,4
golf,polf,11
post,posk,2
track,prack,6
queen,queun,7
lad,rad,10
rent,relt,4
pin,rin,3
rope,rofe,1
scale,scafe,7
scout,scort,11
scream,screim,10
stump,scump,9
self,selk,10
sheet,shett,10
shirt,shirm,11
shop,shom,3
skill,slill,12
scare,smare,10
smoke,smove,1
snake,snate,9
skirt,snirt,8
song,sogg,6
pool,sool,8
sock,sork,12
speech,spelch,2
split,splig,8
spoke,spote,4
spoon,spown,2
square,squere,12
step,stap,3
steam,stean,1
sting,stieg,4
stool,stoot,8
stove,stope,10
mud,sud,3
soil,suil,12
tap,taz,11
tent,tenc,4
thread,threaf,11
drink,trink,1
turn,turp,5
van,val,9
verb,verl,6
might,vight,3
bill,vill,1
ring,ving,5
horn,vorn,11
shame,whame,1
whirl,whirv,7
whip,whis,6
worm,woam,2
yard,yarg,11
hill,yill,11
rug,yug,11
face,zace,7
camp,zamp,8
line,zine,6
coat,zoat,10
rod,zod,12
note,zote,1
