PSW,word,sfi,d,u,f,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11,gr12,gr13,nchar,Occurences,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,Ortho_N,Phono_N,Freq_N,BG_Sum,BG_Mean,NPhon,NSyll,NMorph,POS,AOA,CNC,FAM,IMG,KFFRQ,NLET,NPHN,NSYL,gr1lf,block,PRON,NL,NN,NPN,BFNT,TFNT,NP,used
beant,beast,51,0.551699996,12,325.00,26,13,12,11,14,13,14,13,12,13,13,9,2,5,1,5,7,16393,9.7,6,18,8.42,15623,3905.75,4,1,1,NN,319,564,456,558,7,5,4,1,1.6480454535171,12,bint,5,5,5,1176233,39424,4,TRUE
bebe,babe,46.59999847,0.273400009,4,167.00,6,16,11,7,2,1,2,3,2,2,1,1,0,4,1,4,8,3163,8.06,10,18,7.47,5643,1881,3,1,1,NN,303,562,370,562,8,4,3,1,1.01122335592993,7,bib,4,1,17,352455,9,3,TRUE
besh,bush,52.79999924,0.701799989,19,424.00,20,21,31,31,22,20,18,18,14,13,13,9,2,4,1,4,14,10889,9.3,13,10,7.03,6834,2278,3,1,1,NN,256,585,532,549,14,4,3,1,1.53410210121026,10,bES,4,5,13,504529,8852,3,TRUE
bive,dive,49.70000076,0.519699991,9,251.00,10,28,18,14,13,10,10,9,8,6,5,3,2,4,1,4,23,8177,9.01,15,20,8.23,8774,2924.67,3,1,1,NN|VB,322,494,508,586,23,4,3,1,1.23307210554628,12,b2v,4,13,14,202324,31610,3,TRUE
blake,blade,51.09999847,0.45629999,13,409.00,7,6,9,13,13,14,15,15,16,15,15,13,6,5,1,5,13,9592,9.17,6,16,6.80,13265,3316.25,4,1,1,NN,344,584,517,568,13,5,4,1,1.07817014556054,9,bl1k,5,8,12,294576,47367,4,TRUE
bloov,blood,62.40000153,0.645099998,172,4274.00,34,63,75,82,128,143,169,171,187,236,251,240,210,5,1,5,121,51801,10.86,4,8,8.01,8100,2025,4,1,1,NN,253,613,571,620,121,5,4,1,1.76455102258854,7,bluv,5,2,3,280699,34108,4,TRUE
bluck,block,57.59999847,0.760500014,57,1240.00,87,65,59,59,41,50,48,54,56,63,56,55,38,5,1,5,66,33257,10.41,5,13,8.09,8500,2125,4,1,1,NN|VB,244,558,544,483,66,5,4,1,2.1725913581649,10,blVk,5,4,10,143879,8998,4,TRUE
boak,book,64.59999847,0.952099979,290,5207.00,641,317,309,314,304,319,296,282,277,263,248,224,170,4,1,4,193,190905,12.16,15,25,7.34,4049,1349.67,3,1,1,NN|VB,214,609,643,591,193,4,3,1,3.0399301350651,2,b5k,4,6,29,109085,4071,3,TRUE
boof,boot,47.5,0.565699995,5,144.00,6,11,8,7,6,5,5,4,3,4,4,3,1,4,1,4,13,43868,10.69,18,43,7.55,5443,1814.33,3,1,1,NN|VB,251,595,566,604,13,4,3,1,1.01122335592993,5,buf,4,13,18,712742,11071,3,TRUE
breatt,breath,57.59999847,0.754400015,57,1206.00,48,105,104,97,78,70,61,55,50,38,33,27,10,6,1,6,53,14432,9.58,2,5,6.76,23360,4672,4,1,1,NN,331,479,572,480,53,6,4,1,1.91431334292187,11,brit,6,2,15,1045808,79169,4,TRUE
